Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Discount,Unit_Price,Sales,Profit,Payment_Mode,Sales_Channel,Ship_Mode,Category
50001,65,1029,2025-02-13,5,0.05,15282.9,72593.77,12221.31,UPI,Mobile App,Standard,Furniture
50002,45,1013,2026-07-25,1,0.0,498.28,498.28,134.49,Debit Card,Website,Express,Stationery
50003,146,1059,2026-06-27,3,0.05,2989.86,8521.1,1406.83,Credit Card,Website,Express,Bags
50004,69,1012,2025-12-20,1,0.0,390.94,390.94,133.61,Credit Card,Website,Standard,Stationery
50005,48,1029,2026-03-18,1,0.05,15282.9,14518.76,1474.99,Cash on Delivery,Marketplace,Standard,Furniture
50006,67,1032,2025-09-05,1,0.05,241.73,229.64,56.72,UPI,Marketplace,Standard,Stationery
50007,2,1004,2026-05-09,5,0.05,20837.66,98978.88,11488.33,Cash on Delivery,Mobile App,Express,Electronics
50008,46,1029,2025-10-05,2,0.05,15282.9,29037.51,4354.99,Credit Card,Website,Express,Furniture
50009,78,1028,2026-09-09,4,0.0,6048.55,24194.2,4727.08,Debit Card,Mobile App,Standard,Accessories
50010,138,1016,2025-02-09,1,0.15,2337.23,1986.65,369.36,Cash on Delivery,Marketplace,Express,Storage
50011,111,1008,2025-04-18,1,0.1,3937.51,3543.76,896.45,UPI,Marketplace,Standard,Accessories
50012,118,1003,2026-08-27,4,0.15,19839.12,67453.01,9897.72,Cash on Delivery,Mobile App,Express,Electronics
50013,82,1001,2025-06-29,1,0.05,58323.17,55407.01,7116.79,Credit Card,Marketplace,Standard,Electronics
50014,17,1029,2025-07-13,1,0.2,15282.9,12226.32,1673.43,Debit Card,Mobile App,Standard,Furniture
50015,59,1006,2026-05-08,2,0.05,2599.47,4938.99,1539.45,UPI,Mobile App,Standard,Accessories
50016,150,1058,2025-04-28,2,0.15,3369.95,5728.92,1225.79,Credit Card,Marketplace,Standard,Accessories
50017,7,1015,2025-11-16,1,0.0,8390.1,8390.1,1549.01,Debit Card,Mobile App,Same Day,Storage
50018,132,1040,2025-06-28,2,0.0,24809.39,49618.78,5662.95,Credit Card,Mobile App,Standard,Furniture
50019,103,1041,2025-05-04,3,0.05,61681.89,175793.39,29441.58,UPI,Website,Express,Electronics
